"Story","Title","Result","Date","Stability","Duration (s)"
"Login","As user i have be able to success login","SUCCESS","2023-03-25T20:41:04.8598579+07:00[Asia/Jakarta]","0.0","1.02"
"Payment","As user i have be success on my transaction","SUCCESS","2023-03-25T20:41:05.9325404+07:00[Asia/Jakarta]","0.0","0.08"
"Choose Product","As user i have be able to choose product","SUCCESS","2023-03-25T20:41:06.0482419+07:00[Asia/Jakarta]","0.0","0.09"
