"Story","Title","Result","Date","Stability","Duration (s)"
"Login","As user i have be able to success login","SUCCESS","2023-03-25T20:05:02.4797496+07:00[Asia/Jakarta]","0.0","0.96"
"Post","As user i have be able to logout","SUCCESS","2023-03-25T20:05:03.543112+07:00[Asia/Jakarta]","0.0","0.04"
"Network","As user i have be able to connect to other people","SUCCESS","2023-03-25T20:05:03.6318745+07:00[Asia/Jakarta]","0.0","0.08"
"Notification","As user i have be able to see my notification","SUCCESS","2023-03-25T20:05:03.7595415+07:00[Asia/Jakarta]","0.0","0.1"
"Post","As user i have be able to post my activity","SUCCESS","2023-03-25T20:05:03.899167+07:00[Asia/Jakarta]","0.0","0.11"
"Profile","As user i have be able to see my profile","SUCCESS","2023-03-25T20:05:04.0497597+07:00[Asia/Jakarta]","0.0","0.08"
